Time,Click
2022-06-30 16:11:09.799868-07:00,88.45722957
2022-06-30 16:11:09.838571-07:00,87.64356334
2022-06-30 16:11:09.880308-07:00,87.72986493
2022-06-30 16:11:09.959898-07:00,73.91613434
2022-06-30 16:11:09.999731-07:00,74.00237155
2022-06-30 16:11:10.038462-07:00,75.78857659
2022-06-30 16:11:10.160948-07:00,75.87474944
2022-06-30 16:11:10.161158-07:00,75.0608901
2022-06-30 16:11:10.270707-07:00,75.14699858
2022-06-30 16:11:10.271060-07:00,75.23307488
2022-06-30 16:11:10.280037-07:00,75.31911899
2022-06-30 16:11:10.359927-07:00,74.60513091
2022-06-30 16:11:10.400045-07:00,74.69111065
2022-06-30 16:11:10.440845-07:00,70.37705821
2022-06-30 16:11:10.481201-07:00,70.46297358
2022-06-30 16:11:10.561126-07:00,68.84885676
2022-06-30 16:11:10.598917-07:00,67.13470777
2022-06-30 16:11:10.641347-07:00,67.22052658
2022-06-30 16:11:10.679538-07:00,64.70631321
2022-06-30 16:11:10.759083-07:00,64.79206766
2022-06-30 16:11:10.801128-07:00,64.87778992
2022-06-30 16:11:10.839706-07:00,64.96348
2022-06-30 16:11:10.919395-07:00,62.44913789
2022-06-30 16:11:11.001198-07:00,62.5347636
2022-06-30 16:11:11.001758-07:00,65.22035712
2022-06-30 16:11:11.039268-07:00,65.30591846
2022-06-30 16:11:11.081588-07:00,62.79144761
2022-06-30 16:11:11.200826-07:00,62.87694458
2022-06-30 16:11:11.201403-07:00,62.96240936
2022-06-30 16:11:11.239810-07:00,63.04784196
2022-06-30 16:11:11.281162-07:00,59.63324238
2022-06-30 16:11:11.401119-07:00,59.71861061
2022-06-30 16:11:11.401658-07:00,56.40394665
2022-06-30 16:11:11.441365-07:00,56.48925051
2022-06-30 16:11:11.521298-07:00,64.37452219
2022-06-30 16:11:11.559392-07:00,64.45976167
2022-06-30 16:11:11.599272-07:00,62.74496898
2022-06-30 16:11:11.639492-07:00,62.8301441
2022-06-30 16:11:11.681498-07:00,55.11528704
2022-06-30 16:11:11.760164-07:00,55.20039779
2022-06-30 16:11:11.800104-07:00,58.78547635
2022-06-30 16:11:11.839195-07:00,58.87052273
2022-06-30 16:11:11.881304-07:00,55.45553693
2022-06-30 16:11:11.959496-07:00,53.84051894
2022-06-30 16:11:11.999547-07:00,53.92546877
2022-06-30 16:11:12.039506-07:00,51.41038641
2022-06-30 16:11:12.081614-07:00,51.49527187
2022-06-30 16:11:12.158946-07:00,52.38012514
2022-06-30 16:11:12.199277-07:00,52.46494623
2022-06-30 16:11:12.239554-07:00,51.74973513
2022-06-30 16:11:12.281656-07:00,51.83449185
2022-06-30 16:11:12.359370-07:00,50.11921638
2022-06-30 16:11:12.400217-07:00,50.20390873
2022-06-30 16:11:12.438663-07:00,45.08856889
2022-06-30 16:11:12.478379-07:00,45.17319687
2022-06-30 16:11:12.520292-07:00,44.45779266
2022-06-30 16:11:12.599262-07:00,44.54235627
2022-06-30 16:11:12.680495-07:00,46.3268877
2022-06-30 16:11:12.681102-07:00,46.41138694
2022-06-30 16:11:12.759294-07:00,42.99585399
2022-06-30 16:11:12.802942-07:00,43.08028886
2022-06-30 16:11:12.841308-07:00,51.86469155
2022-06-30 16:11:12.880146-07:00,51.94906205
2022-06-30 16:11:12.921895-07:00,49.43340036
2022-06-30 16:11:12.999876-07:00,49.51770649
2022-06-30 16:11:13.038602-07:00,46.10198044
2022-06-30 16:11:13.080268-07:00,46.1862222
2022-06-30 16:11:13.121613-07:00,39.37043178
2022-06-30 16:11:13.199276-07:00,44.65460917
2022-06-30 16:11:13.240745-07:00,44.73875437
2022-06-30 16:11:13.279395-07:00,42.22286739
2022-06-30 16:11:13.321147-07:00,42.30694823
2022-06-30 16:11:13.399533-07:00,44.09099688
2022-06-30 16:11:13.439264-07:00,44.17501335
2022-06-30 16:11:13.479856-07:00,43.45899763
2022-06-30 16:11:13.521402-07:00,43.54294973
2022-06-30 16:11:13.599339-07:00,41.82686964
2022-06-30 16:11:13.639482-07:00,41.91075737
2022-06-30 16:11:13.679480-07:00,45.49461292
2022-06-30 16:11:13.720391-07:00,45.57843627
2022-06-30 16:11:13.798622-07:00,38.76222745
2022-06-30 16:11:13.839612-07:00,38.84598644
2022-06-30 16:11:13.878756-07:00,44.12971324
2022-06-30 16:11:13.921177-07:00,44.21340786
2022-06-30 16:11:13.999341-07:00,39.0970703
2022-06-30 16:11:14.038768-07:00,39.18070054
2022-06-30 16:11:14.080010-07:00,37.56429861
2022-06-30 16:11:14.119494-07:00,37.64786449
2022-06-30 16:11:14.199357-07:00,37.73139819
2022-06-30 16:11:14.239339-07:00,37.8148997
2022-06-30 16:11:14.279183-07:00,37.89836902
2022-06-30 16:11:14.321116-07:00,37.98180616
2022-06-30 16:11:14.399252-07:00,40.66521112
2022-06-30 16:11:14.441136-07:00,36.34858389
2022-06-30 16:11:14.479496-07:00,36.43192448
2022-06-30 16:11:14.521010-07:00,39.11523288
2022-06-30 16:11:14.560489-07:00,39.19850909
2022-06-30 16:11:14.639254-07:00,34.98175313
2022-06-30 16:11:14.679456-07:00,35.06496497
2022-06-30 16:11:14.719949-07:00,35.14814464
2022-06-30 16:11:14.761069-07:00,35.23129211
2022-06-30 16:11:14.839401-07:00,36.21440741
2022-06-30 16:11:14.879503-07:00,36.29749051
2022-06-30 16:11:14.921416-07:00,33.78054144
2022-06-30 16:11:14.961081-07:00,33.86356018
2022-06-30 16:11:15.039386-07:00,37.34654673
2022-06-30 16:11:15.079939-07:00,37.4295011
2022-06-30 16:11:15.118705-07:00,43.61242328
2022-06-30 16:11:15.200315-07:00,43.69531328
2022-06-30 16:11:15.239362-07:00,36.8781711
2022-06-30 16:11:15.320019-07:00,36.96099673
2022-06-30 16:11:15.321181-07:00,33.54379017
2022-06-30 16:11:15.361184-07:00,33.62655143
2022-06-30 16:11:15.438671-07:00,36.30928051
2022-06-30 16:11:15.479241-07:00,36.3919774
2022-06-30 16:11:15.519755-07:00,33.8746421
2022-06-30 16:11:15.561202-07:00,33.95727462
2022-06-30 16:11:15.639330-07:00,34.93987496
2022-06-30 16:11:15.679129-07:00,35.02244311
2022-06-30 16:11:15.719444-07:00,35.10497908
2022-06-30 16:11:15.761210-07:00,29.98748286
2022-06-30 16:11:15.839275-07:00,30.06995445
2022-06-30 16:11:15.918817-07:00,34.45239387
2022-06-30 16:11:15.919938-07:00,34.53480109
2022-06-30 16:11:15.960331-07:00,30.31717614
2022-06-30 16:11:16.042056-07:00,30.39951899
2022-06-30 16:11:16.177675-07:00,29.58182967
2022-06-30 16:11:16.178432-07:00,29.66410815
2022-06-30 16:11:16.178905-07:00,31.44635446
2022-06-30 16:11:16.308210-07:00,31.52856858
2022-06-30 16:11:16.309509-07:00,36.81075051
2022-06-30 16:11:16.321299-07:00,36.89290026
2022-06-30 16:11:16.360061-07:00,34.37501782
2022-06-30 16:11:16.441990-07:00,34.4571032
2022-06-30 16:11:16.479442-07:00,32.8391564
2022-06-30 16:11:16.560368-07:00,32.9211774
2022-06-30 16:11:16.560944-07:00,27.00316623
2022-06-30 16:11:16.639275-07:00,27.08512287
2022-06-30 16:11:16.679360-07:00,35.76704732
2022-06-30 16:11:16.719152-07:00,35.84893959
2022-06-30 16:11:16.760444-07:00,25.53079968
2022-06-30 16:11:16.801033-07:00,25.61262758
2022-06-30 16:11:16.882557-07:00,31.7944233
2022-06-30 16:11:16.919391-07:00,33.57618683
2022-06-30 16:11:16.961101-07:00,33.65791817
2022-06-30 16:11:17.000553-07:00,32.83961734
2022-06-30 16:11:17.081385-07:00,32.92128431
2022-06-30 16:11:17.119379-07:00,32.2029191
2022-06-30 16:11:17.161065-07:00,32.28452171
2022-06-30 16:11:17.201040-07:00,28.86609213
2022-06-30 16:11:17.375927-07:00,28.94763037
2022-06-30 16:11:17.376669-07:00,31.62913642
2022-06-30 16:11:17.377110-07:00,31.71061029
2022-06-30 16:11:17.483614-07:00,32.69205197
2022-06-30 16:11:17.484262-07:00,32.77346147
2022-06-30 16:11:17.518892-07:00,31.15483879
2022-06-30 16:11:17.558706-07:00,31.23618391
2022-06-30 16:11:17.600319-07:00,29.51749686
2022-06-30 16:11:17.718696-07:00,29.59877762
2022-06-30 16:11:17.722038-07:00,30.58002619
2022-06-30 16:11:17.758369-07:00,30.66124258
2022-06-30 16:11:17.839916-07:00,29.84242679
2022-06-30 16:11:17.880096-07:00,29.92357881
2022-06-30 16:11:17.918913-07:00,30.00469864
2022-06-30 16:11:17.958701-07:00,30.08578629
2022-06-30 16:11:17.999593-07:00,29.36684176
2022-06-30 16:11:18.080137-07:00,29.44786504
2022-06-30 16:11:18.118555-07:00,31.22885613
2022-06-30 16:11:18.158627-07:00,276.709815
2022-06-30 16:11:18.200501-07:00,276.7907418
2022-06-30 16:11:18.279314-07:00,417.2716363
2022-06-30 16:11:18.319272-07:00,417.3524987
2022-06-30 16:11:18.361392-07:00,395.4333288
2022-06-30 16:11:18.401021-07:00,395.5141268
2022-06-30 16:11:18.481206-07:00,236.0948926
2022-06-30 16:11:18.519243-07:00,236.1756262
2022-06-30 16:11:18.559390-07:00,190.1563277
2022-06-30 16:11:18.601062-07:00,190.2369969
2022-06-30 16:11:18.679296-07:00,175.217634
2022-06-30 16:11:18.718505-07:00,175.2982389
2022-06-30 16:11:18.758798-07:00,153.3788116
2022-06-30 16:11:18.801567-07:00,153.4593521
2022-06-30 16:11:18.879114-07:00,140.3398604
2022-06-30 16:11:18.918248-07:00,140.4203365
2022-06-30 16:11:19.000138-07:00,133.5007805
2022-06-30 16:11:19.000844-07:00,133.5811923
2022-06-30 16:11:19.081808-07:00,126.6615718
2022-06-30 16:11:19.119263-07:00,126.7419192
2022-06-30 16:11:19.159126-07:00,123.3222345
2022-06-30 16:11:19.201045-07:00,123.4025175
2022-06-30 16:11:19.376899-07:00,114.7827683
2022-06-30 16:11:19.377664-07:00,114.862987
2022-06-30 16:11:19.378211-07:00,114.9431735
2022-06-30 16:11:19.502096-07:00,115.0233278
2022-06-30 16:11:19.502689-07:00,110.7034499
2022-06-30 16:11:19.521116-07:00,105.4835398
2022-06-30 16:11:19.559131-07:00,105.5635975
2022-06-30 16:11:19.600709-07:00,103.9436231
2022-06-30 16:11:19.679173-07:00,104.0236164
2022-06-30 16:11:19.720988-07:00,99.70357762
2022-06-30 16:11:19.759138-07:00,99.78350662
2022-06-30 16:11:19.801251-07:00,98.16340343
2022-06-30 16:11:19.981158-07:00,98.24326806
2022-06-30 16:11:19.981740-07:00,89.6231005
2022-06-30 16:11:19.982064-07:00,89.70290076
2022-06-30 16:11:20.003154-07:00,91.48266883
2022-06-30 16:11:20.111644-07:00,91.56240472
2022-06-30 16:11:20.119505-07:00,89.04210842
2022-06-30 16:11:20.161355-07:00,89.12177994
2022-06-30 16:11:20.200829-07:00,87.50141928
2022-06-30 16:11:20.282782-07:00,87.58102643
2022-06-30 16:11:20.320225-07:00,87.66060139
2022-06-30 16:11:20.399571-07:00,87.74014417
2022-06-30 16:11:20.402327-07:00,85.21965477
2022-06-30 16:11:20.439865-07:00,85.29913318
2022-06-30 16:11:20.520390-07:00,81.8785794
2022-06-30 16:11:20.558454-07:00,81.95799344
2022-06-30 16:11:20.599081-07:00,82.8373753
2022-06-30 16:11:20.653825-07:00,82.91672497
2022-06-30 16:11:20.762586-07:00,81.29604245
2022-06-30 16:11:20.763919-07:00,80.47532775
2022-06-30 16:11:20.884961-07:00,80.55458087
2022-06-30 16:11:20.885728-07:00,80.6338018
2022-06-30 16:11:20.921073-07:00,80.71299055
2022-06-30 16:11:20.958811-07:00,78.19214711
2022-06-30 16:11:20.999009-07:00,78.27127149
2022-06-30 16:11:21.042032-07:00,74.95036368
2022-06-30 16:11:21.122848-07:00,75.02942369
2022-06-30 16:11:21.159206-07:00,72.50845151
2022-06-30 16:11:21.199334-07:00,72.58744715
2022-06-30 16:11:21.280601-07:00,75.2664106
2022-06-30 16:11:21.319487-07:00,75.34534187
2022-06-30 16:11:21.361023-07:00,66.72424095
2022-06-30 16:11:21.399328-07:00,66.80310785
2022-06-30 16:11:21.440951-07:00,74.68194257
2022-06-30 16:11:21.520637-07:00,74.7607451
2022-06-30 16:11:21.559190-07:00,70.43951544
2022-06-30 16:11:21.599030-07:00,70.5182536
2022-06-30 16:11:21.640337-07:00,67.19695957
2022-06-30 16:11:21.719039-07:00,67.27563336
2022-06-30 16:11:21.759083-07:00,68.15427497
2022-06-30 16:11:21.799335-07:00,68.23288439
2022-06-30 16:11:21.839466-07:00,66.61146162
2022-06-30 16:11:21.960283-07:00,66.69000668
2022-06-30 16:11:21.961321-07:00,66.76851954
2022-06-30 16:11:21.998527-07:00,66.84700022
2022-06-30 16:11:22.039728-07:00,66.92544872
2022-06-30 16:11:22.121021-07:00,65.30386503
2022-06-30 16:11:22.159325-07:00,65.38224916
2022-06-30 16:11:22.198965-07:00,61.9606011
2022-06-30 16:11:22.240963-07:00,62.03892086
2022-06-30 16:11:22.319115-07:00,63.01720843
2022-06-30 16:11:22.360888-07:00,63.09546382
2022-06-30 16:11:22.398537-07:00,61.37368702
2022-06-30 16:11:22.440961-07:00,61.45187804
2022-06-30 16:11:22.519146-07:00,59.83003687
2022-06-30 16:11:22.558457-07:00,59.90816352
2022-06-30 16:11:22.599234-07:00,58.28625798
2022-06-30 16:11:22.638781-07:00,58.36432026
2022-06-30 16:11:22.681435-07:00,58.44235035
2022-06-30 16:11:22.759110-07:00,58.52034826
2022-06-30 16:11:22.841804-07:00,60.29831399
2022-06-30 16:11:22.842540-07:00,60.37624753
2022-06-30 16:11:22.881093-07:00,58.75414888
2022-06-30 16:11:22.959151-07:00,58.83201805
2022-06-30 16:11:22.999037-07:00,56.30985503
2022-06-30 16:11:23.039281-07:00,56.38765984
2022-06-30 16:11:23.081080-07:00,53.86543245
2022-06-30 16:11:23.159199-07:00,53.94317288
2022-06-30 16:11:23.239967-07:00,52.32088113
2022-06-30 16:11:23.241477-07:00,57.49855719
2022-06-30 16:11:23.280981-07:00,57.57620106
2022-06-30 16:11:23.361576-07:00,55.15381276
2022-06-30 16:11:23.400525-07:00,55.23139226
2022-06-30 16:11:23.479665-07:00,57.00893958
2022-06-30 16:11:23.481385-07:00,57.08645472
2022-06-30 16:11:23.559092-07:00,51.06393767
2022-06-30 16:11:23.599041-07:00,51.14138844
2022-06-30 16:11:23.639222-07:00,59.01880702
2022-06-30 16:11:23.681520-07:00,59.09619342
2022-06-30 16:11:23.759284-07:00,57.47354763
2022-06-30 16:11:23.840381-07:00,57.55086966
2022-06-30 16:11:23.841081-07:00,51.5281595
2022-06-30 16:11:23.880951-07:00,51.60541716
2022-06-30 16:11:23.959107-07:00,56.88264264
2022-06-30 16:11:23.999960-07:00,56.95983593
2022-06-30 16:11:24.038308-07:00,52.73699703
2022-06-30 16:11:24.121848-07:00,52.81412595
2022-06-30 16:11:24.158900-07:00,51.99122268
2022-06-30 16:11:24.198982-07:00,52.06828723
2022-06-30 16:11:24.239089-07:00,49.5453196
2022-06-30 16:11:24.280736-07:00,49.62231978
2022-06-30 16:11:24.360835-07:00,50.59928777
2022-06-30 16:11:24.398965-07:00,50.67622358
2022-06-30 16:11:24.438959-07:00,50.75312721
2022-06-30 16:11:24.481513-07:00,49.12999865
2022-06-30 16:11:24.559093-07:00,49.20683791
2022-06-30 16:11:24.601881-07:00,47.48364498
2022-06-30 16:11:24.639194-07:00,47.56041986
2022-06-30 16:11:24.681020-07:00,48.53716257
2022-06-30 16:11:24.720777-07:00,48.61387308
2022-06-30 16:11:24.840019-07:00,44.39055142
2022-06-30 16:11:24.840794-07:00,44.46719756
2022-06-30 16:11:24.880300-07:00,48.84381152
2022-06-30 16:11:24.920908-07:00,48.9203933
2022-06-30 16:11:24.999047-07:00,46.3969429
2022-06-30 16:11:25.038213-07:00,46.4734603
2022-06-30 16:11:25.079589-07:00,52.64994553
2022-06-30 16:11:25.121698-07:00,52.72639857
2022-06-30 16:11:25.199161-07:00,48.40281942
2022-06-30 16:11:25.241005-07:00,48.47920809
2022-06-30 16:11:25.279204-07:00,45.15556457
2022-06-30 16:11:25.320739-07:00,45.23188887
2022-06-30 16:11:25.399253-07:00,47.90818099
2022-06-30 16:11:25.440218-07:00,47.98444091
2022-06-30 16:11:25.481201-07:00,45.46066866
2022-06-30 16:11:25.520904-07:00,45.53686422
2022-06-30 16:11:25.599282-07:00,42.11302759
2022-06-30 16:11:25.639091-07:00,42.18915879
2022-06-30 16:11:25.678164-07:00,44.86525779
2022-06-30 16:11:25.720898-07:00,47.54132461
2022-06-30 16:11:25.798975-07:00,47.61735925
2022-06-30 16:11:25.839126-07:00,42.4933617
2022-06-30 16:11:25.879601-07:00,42.56933196
2022-06-30 16:11:25.920877-07:00,45.24527005
2022-06-30 16:11:25.999083-07:00,45.32117594
2022-06-30 16:11:26.039114-07:00,47.09704966
2022-06-30 16:11:26.166356-07:00,47.17289118
2022-06-30 16:11:26.167131-07:00,42.94870052
2022-06-30 16:11:26.276853-07:00,43.02447768
2022-06-30 16:11:26.278060-07:00,41.40022265
2022-06-30 16:11:26.320016-07:00,41.47593544
2022-06-30 16:11:26.359364-07:00,44.15161605
2022-06-30 16:11:26.401032-07:00,44.22726446
2022-06-30 16:11:26.440855-07:00,47.7028807
2022-06-30 16:11:26.480843-07:00,47.77846475
2022-06-30 16:11:26.520124-07:00,38.45401661
2022-06-30 16:11:26.598856-07:00,38.52953629
2022-06-30 16:11:26.639258-07:00,48.00502378
2022-06-30 16:11:26.678895-07:00,48.08047909
2022-06-30 16:11:26.720947-07:00,45.65590222
2022-06-30 16:11:26.801021-07:00,45.73129316
2022-06-30 16:11:26.840188-07:00,44.90665191
2022-06-30 16:11:26.878880-07:00,44.98197848
2022-06-30 16:11:26.920411-07:00,45.05727287
2022-06-30 16:11:26.998307-07:00,43.43253507
2022-06-30 16:11:27.118520-07:00,43.50776509
2022-06-30 16:11:27.121603-07:00,46.18296292
2022-06-30 16:11:27.123008-07:00,46.25812856
2022-06-30 16:11:27.240666-07:00,42.83326202
2022-06-30 16:11:27.242195-07:00,42.9083633
2022-06-30 16:11:27.373599-07:00,46.48343239
2022-06-30 16:11:27.374433-07:00,46.5584693
2022-06-30 16:11:27.497194-07:00,41.43347402
2022-06-30 16:11:27.497972-07:00,41.50844656
2022-06-30 16:11:27.498473-07:00,40.68338691
2022-06-30 16:11:27.520597-07:00,40.75829508
2022-06-30 16:11:27.560019-07:00,40.03317106
2022-06-30 16:11:27.638687-07:00,40.10801486
2022-06-30 16:11:27.678050-07:00,40.18282647
2022-06-30 16:11:27.721292-07:00,40.2576059
2022-06-30 16:11:27.760983-07:00,41.13235315
2022-06-30 16:11:27.839064-07:00,41.20706821
2022-06-30 16:11:27.879874-07:00,39.58175108
2022-06-30 16:11:27.960029-07:00,39.65640177
2022-06-30 16:11:27.961843-07:00,40.63102027
2022-06-30 16:11:28.038990-07:00,40.70560659
2022-06-30 16:11:28.079031-07:00,38.18016073
2022-06-30 16:11:28.119192-07:00,38.25468268
2022-06-30 16:11:28.161237-07:00,43.42917244
2022-06-30 16:11:28.238707-07:00,280.80363
2022-06-30 16:11:28.279047-07:00,280.8780554
2022-06-30 16:11:28.319208-07:00,392.7524486
2022-06-30 16:11:28.360623-07:00,392.8268097
2022-06-30 16:11:28.480142-07:00,378.4011385
2022-06-30 16:11:28.480736-07:00,378.4754352
2022-06-30 16:11:28.518877-07:00,267.8496996
2022-06-30 16:11:28.560817-07:00,267.9239319
2022-06-30 16:11:28.639741-07:00,211.098132
2022-06-30 16:11:28.678914-07:00,211.1722999
2022-06-30 16:11:28.719751-07:00,190.8464357
2022-06-30 16:11:28.760872-07:00,190.9205392
2022-06-30 16:11:28.839112-07:00,167.2946106
2022-06-30 16:11:28.878988-07:00,167.3686498
2022-06-30 16:11:28.919539-07:00,154.2426567
2022-06-30 16:11:28.963284-07:00,154.3166316
2022-06-30 16:11:29.038936-07:00,144.6905742
2022-06-30 16:11:29.080438-07:00,144.7644846
2022-06-30 16:11:29.119199-07:00,134.3383629
2022-06-30 16:11:29.159332-07:00,134.4122089
2022-06-30 16:11:29.239039-07:00,130.9860228
2022-06-30 16:11:29.278915-07:00,131.0598045
2022-06-30 16:11:29.360131-07:00,123.333554
2022-06-30 16:11:29.361027-07:00,123.4072714
2022-06-30 16:11:29.439066-07:00,119.9809565
2022-06-30 16:11:29.479007-07:00,120.0546095
2022-06-30 16:11:29.520905-07:00,116.6282303
2022-06-30 16:11:29.561269-07:00,108.8018188
2022-06-30 16:11:29.639069-07:00,108.8753753
2022-06-30 16:11:29.679015-07:00,108.9488995
2022-06-30 16:11:29.719100-07:00,109.0223915
2022-06-30 16:11:29.760774-07:00,103.8958514
2022-06-30 16:11:29.838956-07:00,103.969279
2022-06-30 16:11:29.878967-07:00,103.1426745
2022-06-30 16:11:29.960015-07:00,103.2160378
2022-06-30 16:11:29.961697-07:00,99.88936892
2022-06-30 16:11:30.039008-07:00,99.96266785
2022-06-30 16:11:30.185727-07:00,97.33593459
2022-06-30 16:11:30.186812-07:00,97.40916915
2022-06-30 16:11:30.187602-07:00,96.68237152
2022-06-30 16:11:30.309983-07:00,96.75554171
2022-06-30 16:11:30.310860-07:00,93.32867971
2022-06-30 16:11:30.320616-07:00,93.40178553
2022-06-30 16:11:30.360797-07:00,91.77485917
2022-06-30 16:11:30.440412-07:00,91.84790061
2022-06-30 16:11:30.478590-07:00,89.32090988
2022-06-30 16:11:30.519392-07:00,89.39388696
2022-06-30 16:11:30.559173-07:00,85.96683185
2022-06-30 16:11:30.600792-07:00,86.03974456
2022-06-30 16:11:30.778085-07:00,91.31262509
2022-06-30 16:11:30.779572-07:00,91.38547343
2022-06-30 16:11:30.780184-07:00,84.45828958
2022-06-30 16:11:30.800328-07:00,82.83107356
2022-06-30 16:11:30.919934-07:00,82.90382534
2022-06-30 16:11:30.920920-07:00,81.27654494
2022-06-30 16:11:30.958774-07:00,81.34923236
2022-06-30 16:11:31-07:00,82.22188759
2022-06-30 16:11:31.078915-07:00,82.29451064
2022-06-30 16:11:31.118841-07:00,79.7671015
2022-06-30 16:11:31.160706-07:00,79.83966018
2022-06-30 16:11:31.200760-07:00,77.31218667
2022-06-30 16:11:31.281138-07:00,77.38468098
2022-06-30 16:11:31.319003-07:00,83.5571431
2022-06-30 16:11:31.358778-07:00,83.62957304
2022-06-30 16:11:31.439810-07:00,77.60197079
2022-06-30 16:11:31.587201-07:00,77.67433636
2022-06-30 16:11:31.588104-07:00,79.54666974
2022-06-30 16:11:31.588737-07:00,79.61897094
2022-06-30 16:11:31.711719-07:00,77.09123995
2022-06-30 16:11:31.712556-07:00,77.16347678
2022-06-30 16:11:31.720089-07:00,72.03568143
2022-06-30 16:11:31.758891-07:00,72.10785389
2022-06-30 16:11:31.800510-07:00,68.67999416
2022-06-30 16:11:31.878878-07:00,68.75210225
2022-06-30 16:11:31.918941-07:00,69.72417816
2022-06-30 16:11:31.959017-07:00,69.79622188
2022-06-30 16:11:32.000771-07:00,70.66823341
2022-06-30 16:11:32.078786-07:00,71.64021276
2022-06-30 16:11:32.119395-07:00,71.71215993
2022-06-30 16:11:32.161597-07:00,70.88407491
2022-06-30 16:11:32.241724-07:00,70.95595771
2022-06-30 16:11:32.278782-07:00,70.22780832
2022-06-30 16:11:32.318807-07:00,70.29962674
2022-06-30 16:11:32.359169-07:00,70.37141299
2022-06-30 16:11:32.401468-07:00,70.44316704
2022-06-30 16:11:32.478796-07:00,65.31488892
2022-06-30 16:11:32.518874-07:00,65.3865786
2022-06-30 16:11:32.558871-07:00,66.35823611
2022-06-30 16:11:32.600749-07:00,66.42986142
2022-06-30 16:11:32.718410-07:00,62.10145456
2022-06-30 16:11:32.720014-07:00,62.1730155
2022-06-30 16:11:32.759119-07:00,65.74454427
2022-06-30 16:11:32.800717-07:00,65.81604085
2022-06-30 16:11:32.840722-07:00,64.18750524
2022-06-30 16:11:32.919096-07:00,64.25893745
2022-06-30 16:11:32.959012-07:00,65.13033747
2022-06-30 16:11:32.999494-07:00,65.20170531
2022-06-30 16:11:33.040729-07:00,68.77304097
2022-06-30 16:11:33.119003-07:00,68.84434444
2022-06-30 16:11:33.160868-07:00,63.71561572
2022-06-30 16:11:33.198802-07:00,63.78685482
2022-06-30 16:11:33.240710-07:00,61.25806174
2022-06-30 16:11:33.318921-07:00,65.62923647
2022-06-30 16:11:33.358654-07:00,65.70037901
2022-06-30 16:11:33.399045-07:00,60.57148938
2022-06-30 16:11:33.440482-07:00,60.64256755
2022-06-30 16:11:33.518958-07:00,57.31361354
2022-06-30 16:11:33.559625-07:00,57.38462735
2022-06-30 16:11:33.599125-07:00,62.65560897
2022-06-30 16:11:33.640771-07:00,62.72655841
2022-06-30 16:11:33.760376-07:00,56.69747566
2022-06-30 16:11:33.761541-07:00,56.76836073
2022-06-30 16:11:33.798689-07:00,56.83921361
2022-06-30 16:11:33.840754-07:00,56.91003431
2022-06-30 16:11:33.918848-07:00,60.48082282
